Animal_Id,Animal_Type,Animal_Breed
A0101596,DOG,GERM SHEPHERD
A0113667,DOG,POMERANIAN
A0517410,CAT,DOMESTIC SH
A0524957,CAT,DOMESTIC SH
A0525959,DOG,SPANIEL
A0526872,DOG,CHIHUAHUA SH
A0536200,DOG,CAIRN TERRIER
A0548537,DOG,LABRADOR RETR
A0551248,DOG,MIXED BREED
A0559624,DOG,CHIHUAHUA SH
A0561004,DOG,CHIHUAHUA SH
A0577252,DOG,SHIH TZU
A0597189,DOG,CHIHUAHUA SH
A0601296,DOG,LABRADOR RETR
A0605617,DOG,CHOW CHOW
A0608900,DOG,CHIHUAHUA SH
A0614326,DOG,CHIHUAHUA SH
A0623088,DOG,LABRADOR RETR
A0623589,DOG,POODLE MIN
A0629143,DOG,MALTESE
A0631535,DOG,TERRIER
A0632169,DOG,GERM SHEPHERD
A0632406,DOG,DACHSHUND
A0644135,DOG,CATAHOULA
A0650172,DOG,GERM SHEPHERD
A0655660,DOG,CAIRN TERRIER
A0656103,DOG,ROTTWEILER
A0656113,DOG,ROTTWEILER
A0657362,DOG,SHEPHERD
A0668790,DOG,CHIHUAHUA SH
A0673908,DOG,PIT BULL
A0681623,DOG,SCHNAUZER MIN
A0692317,DOG,CHIHUAHUA SH
A0695338,DOG,BOSTON TERRIER
A0703155,DOG,LABRADOR RETR
A0703184,DOG,TR WALKER HOUND
A0703517,CAT,DOMESTIC SH
A0705369,DOG,BORDER COLLIE
A0711486,DOG,LABRADOR RETR
A0711486,DOG,LABRADOR RETR
A0712281,DOG,SCHNAUZER MIN
A0715875,DOG,AM PIT BULL TER
A0717641,DOG,ROTTWEILER
A0722893,DOG,BOXER
A0728725,DOG,GERM SHEPHERD
A0734514,DOG,PIT BULL
A0737728,DOG,LHASA APSO
A0737987,DOG,PIT BULL
A0742095,CAT,DOMESTIC SH
A0742314,DOG,LABRADOR RETR
A0742935,DOG,LABRADOR RETR
A0743281,CAT,DOMESTIC SH
A0755277,DOG,CHIHUAHUA SH
A0756577,DOG,TOY FOX TERRIER
A0757838,DOG,GERM SHEPHERD
A0763458,DOG,LABRADOR RETR
A0769235,DOG,PIT BULL
A0769235,DOG,PIT BULL
A0770373,DOG,PIT BULL
A0775997,DOG,GERM SHEPHERD
A0778310,DOG,CHIHUAHUA SH
A0778310,DOG,CHIHUAHUA SH
A0783805,DOG,LABRADOR RETR
A0783805,DOG,LABRADOR RETR
A0784913,DOG,MIXED BREED
A0785989,DOG,PIT BULL
A0787695,DOG,GERM SHEPHERD
A0792560,DOG,PIT BULL
A0794144,DOG,PIT BULL
A0794596,DOG,CHIHUAHUA SH
A0794663,DOG,CHIHUAHUA SH
A0797536,DOG,GERM SHEPHERD
A0797746,DOG,CAIRN TERRIER
A0797770,DOG,LABRADOR RETR
A0797770,DOG,LABRADOR RETR
A0799866,DOG,BASSET HOUND
A0800159,CAT,DOMESTIC SH
A0804397,DOG,SHIH TZU
A0811546,DOG,PIT BULL
A0813527,DOG,MIXED BREED
A0813739,DOG,POODLE MIN
A0814701,DOG,CHIHUAHUA SH
A0814825,DOG,PIT BULL
A0815573,DOG,PIT BULL
A0816413,DOG,ALASKAN HUSKY
A0817136,DOG,LABRADOR RETR
A0817988,DOG,RAT TERRIER
A0818217,DOG,SHIH TZU
A0819218,DOG,PIT BULL
A0819218,DOG,PIT BULL
A0819218,DOG,PIT BULL
A0819935,DOG,PIT BULL
A0822156,DOG,GOLDEN RETR
A0824446,DOG,LABRADOR RETR
A0824448,DOG,LABRADOR RETR
A0826118,DOG,GERM SHEPHERD
A0831097,DOG,GERM SHEPHERD
A0832360,DOG,MIN PINSCHER
A0832360,DOG,MIN PINSCHER
A0835443,DOG,PIT BULL
A0835444,DOG,PIT BULL
A0838689,DOG,LABRADOR RETR
A0839820,DOG,CHIHUAHUA SH
A0842366,DOG,MIXED BREED
A0851063,DOG,CAIRN TERRIER
A0851522,DOG,CAIRN TERRIER
A0853741,DOG,GERM SHEPHERD
A0853741,DOG,GERM SHEPHERD
A0857252,DOG,BLACK MOUTH CUR
A0857362,DOG,CHOW CHOW
A0858959,DOG,PIT BULL
A0858959,DOG,PIT BULL
A0862723,DOG,LABRADOR RETR
A0863410,DOG,MIXED BREED
A0865228,DOG,LABRADOR RETR
A0866305,DOG,PIT BULL
A0866706,DOG,POMERANIAN
A0869493,DOG,MIXED BREED
A0870739,DOG,LABRADOR RETR
A0871054,DOG,PIT BULL
A0871790,DOG,MIXED BREED
A0871848,DOG,LABRADOR RETR
A0872213,DOG,LABRADOR RETR
A0872224,DOG,PIT BULL
A0872410,DOG,ENG POINTER
A0873455,DOG,LABRADOR RETR
A0874101,DOG,SHIH TZU
A0878046,DOG,LABRADOR RETR
A0878238,DOG,PIT BULL
A0878645,DOG,LABRADOR RETR
A0879023,DOG,SCHNAUZER MIN
A0879183,DOG,CHOW CHOW
A0880347,DOG,GOLDEN RETR
A0883160,DOG,DACHSHUND
A0884451,DOG,GERM SHEPHERD
A0885059,DOG,MALTESE
A0887129,DOG,RAT TERRIER
A0887129,DOG,RAT TERRIER
