Animal_Id,Intake_Type,Intake_Subtype,Reason,Intake_Date,Intake_Condition,Hold_Request
A0101596,OWNER SURRENDER,APPOINT,HOUSING,06/04/2022 12:00:00 AM,APP WNL,ADOP RESCU
A0113667,OWNER SURRENDER,EUTHANASIA REQUESTED,MEDICAL,12/09/2021 12:00:00 AM,APP SICK,RESCU ONLY
A0517410,OWNER SURRENDER,WALK IN,MEDICAL,12/01/2021 12:00:00 AM,APP SICK,EMERGENCY RESCUE
A0524957,KEEPSAFE,OWN DECEAS,OTHRINTAKS,04/17/2022 12:00:00 AM,APP WNL,FIELD
A0525959,STRAY,CONFINED,OTHRINTAKS,05/04/2022 12:00:00 AM,APP WNL,ADOP RESCU
A0526872,STRAY,AT LARGE,OTHRINTAKS,04/13/2022 12:00:00 AM,APP SICK,N/A
A0536200,KEEPSAFE,OWN HOSPIT,OTHRINTAKS,02/07/2022 12:00:00 AM,APP WNL,ADOP RESCU
A0548537,OWNER SURRENDER,URGENT,MEDICAL,06/19/2022 12:00:00 AM,APP SICK,RESCU ONLY
A0551248,OWNER SURRENDER,APPOINT,HOUSING,09/03/2022 12:00:00 AM,APP WNL,RESCU ONLY
A0559624,KEEPSAFE,OWN DECEAS,OTHRINTAKS,06/25/2022 12:00:00 AM,APP SICK,ADOP RESCU
A0561004,OWNER SURRENDER,WALK IN,MEDICAL,07/05/2022 12:00:00 AM,APP WNL,EVAL
A0577252,OWNER SURRENDER,APPOINT,PERSNLISSU,05/05/2022 12:00:00 AM,APP WNL,ADOP RESCU
A0597189,STRAY,AT LARGE,OTHRINTAKS,07/15/2022 12:00:00 AM,APP WNL,EMERGENCY RESCUE
A0601296,OWNER SURRENDER,URGENT,MEDICAL,08/08/2022 12:00:00 AM,APP SICK,RESCU ONLY
A0605617,OWNER SURRENDER,EUTHANASIA REQUESTED,MEDICAL,11/22/2021 12:00:00 AM,APP WNL,EMERGENCY RESCUE
A0608900,TRANSFER,STRAY,OTHRINTAKS,08/10/2022 12:00:00 AM,APP WNL,ADOP RESCU
A0614326,OWNER SURRENDER,URGENT,MEDICAL,10/09/2021 12:00:00 AM,DECEASED,N/A
A0623088,OWNER SURRENDER,PICK UP,MEDICAL,01/25/2022 12:00:00 AM,APP SICK,ADOP RESCU
A0623589,STRAY,AT LARGE,OTHRINTAKS,01/03/2022 12:00:00 AM,APP WNL,ADOP RESCU
A0629143,OWNER SURRENDER,EUTHANASIA REQUESTED,MEDICAL,11/01/2021 12:00:00 AM,APP SICK,EMERGENCY RESCUE
A0631535,OWNER SURRENDER,URGENT,MEDICAL,09/25/2022 12:00:00 AM,APP SICK,RESCU ONLY
A0632169,OWNER SURRENDER,PICK UP,MEDICAL,05/08/2022 12:00:00 AM,APP SICK,N/A
A0632406,STRAY,AT LARGE,OTHRINTAKS,08/10/2022 12:00:00 AM,APP WNL,ADOP RESCU
