Animal_Id,Kennel_Number,Kennel_Status,Source_Id
A0101596,DC 26,AVAILABLE,P0976568
A0113667,INJD 015,UNAVAILABLE,P0979352
A0517410,LFC 061,AVAILABLE,P0141188
A0524957,QC 03,IMPOUNDED,P9991780
A0525959,LFD 074,IMPOUNDED,P0996613
A0526872,186037-03,IMPOUNDED,P0993879
A0536200,PCD 13,AVAILABLE,P0531768
A0548537,LFD 095,UNAVAILABLE,P0534691
A0551248,LFD 025,UNAVAILABLE,P0536467
A0559624,CC 14,UNAVAILABLE,P9998471
A0561004,FREEZER,UNAVAILABLE,P0539235
A0577252,LFD 025,IMPOUNDED,P0997027
A0597189,LFD 082,UNAVAILABLE,P1006335
A0601296,LFD 142,UNAVAILABLE,P0569218
A0605617,LAB 01,UNAVAILABLE,P0560152
A0608900,LFD 054,UNAVAILABLE,P0713411
A0614326,FREEZER,IMPOUNDED,P0561615
A0623088,LFD 104,AVAILABLE,P0565266
A0623589,LFSD 10,IMPOUNDED,P0981995
A0629143,INJD 016,IMPOUNDED,P0975347
A0631535,VT 08,UNAVAILABLE,P0569432
A0632169,BAY 13,IMPOUNDED,P0548655
A0632406,LFD 028,IMPOUNDED,P1009569
A0644135,FREEZER,UNAVAILABLE,P0983894
A0650172,176001-01,IMPOUNDED,P0578740
A0655660,LFD 082,IMPOUNDED,P0577958
A0656103,LAB 03,LAB,P1006695
A0656113,LAB 04,LAB,P1006695
A0657362,FREEZER,UNAVAILABLE,P1005047
A0668790,AD 101,AVAILABLE,P0584912
A0673908,LFD 106,IMPOUNDED,P0981720
A0681623,PCD 27,AVAILABLE,P0531768
A0692317,FREEZER,UNAVAILABLE,P0593691
A0695338,FREEZER,IMPOUNDED,P0594934
A0703155,FREEZER,IMPOUNDED,P0598834
A0703184,VIP09,AVAILABLE,P9991704
A0703517,VT 12,IMPOUNDED,P0599002
A0705369,FREEZER,UNAVAILABLE,P0556174
A0711486,FOSTER,PENDING,P0943321
A0711486,LFSD 14,AVAILABLE,P0746568
A0712281,FREEZER,UNAVAILABLE,P0602723
A0715875,PCD 01,LAB,P0902552
A0717641,DC 06,EU RISK,P0842180
A0722893,PCD 10,UNAVAILABLE,P0981063
A0728725,LFD 055,EU RISK,P9991780
A0734514,AD 074,UNAVAILABLE,P0613134
A0737728,INJD 007,UNAVAILABLE,P0614992
A0737987,146005-01,IMPOUNDED,P9998461
A0742095,LFC 078,AVAILABLE,P0621359
A0742314,INJD 007,UNAVAILABLE,P0955520
A0742935,196007-01,IMPOUNDED,P9991723
A0743281,QC 09,IMPOUNDED,P0976308
A0755277,LFD 109,AVAILABLE,P0082811
A0756577,LFSD 16,IMPOUNDED,P1002865
A0757838,LAB 01,LAB,P0954347
A0763458,QD 29,RELEASED FROM QUARANTINE,P0549681
A0769235,ID22B,IMPOUNDED,P9998456
A0769235,LFD 119,IMPOUNDED,P9991753
A0770373,PUPS 1,UNAVAILABLE,P1004438
A0775997,LFD 016,IMPOUNDED,P0865775
A0778310,INJD 008,UNAVAILABLE,P0968172
A0778310,VT 08,UNAVAILABLE,P0968172
A0783805,AD 067,UNAVAILABLE,P0906393
A0783805,AD 067,UNAVAILABLE,P0692383
A0784913,OFFICE,AVAILABLE,P9991770
A0785989,AD 082,UNAVAILABLE,P9991754
A0787695,LFD 079,IMPOUNDED,P1014533
A0792560,146004-01,IMPOUNDED,P1003720
A0794144,INJD 009,LAB,P0780703
A0794596,LFSD 15,UNAVAILABLE,P0987229
A0794663,AD 100,AVAILABLE,P0628149
A0797536,FREEZER,UNAVAILABLE,P0980109
A0797746,VT 01,UNAVAILABLE,P0972673
A0797770,LFD 076,AVAILABLE,P0972824
A0797770,LFD 131,AVAILABLE,P9998461
A0799866,LAB 02,LAB,P0702114
A0800159,AC 017,AVAILABLE,P0837256
A0804397,196007-01,IMPOUNDED,P0940435
A0811546,FREEZER,IMPOUNDED,P0668529
A0813527,PUPS 1,EU RISK,P1015091
