Animal_Id,Outcome_Type,Outcome_Subtype,Outcome_Date,Impound_Number,Outcome_Condition
A0101596,ADOPTION,WESTMORELD,06/06/2022 12:00:00 AM,K22-556534,APP WNL
A0113667,TRANSFER,MEDICAL,12/15/2021 12:00:00 AM,K21-543301,APP SICK
A0517410,EUTHANIZED,HUMANE,12/02/2021 12:00:00 AM,K21-542637,APP SICK
A0524957,RETURNED TO OWNER,WESTMORELD,04/20/2022 12:00:00 AM,K22-552330,APP WNL
A0525959,RETURNED TO OWNER,WESTMORELD,05/05/2022 12:00:00 AM,K22-553726,APP WNL
A0526872,RETURNED TO OWNER,FIELD,04/13/2022 12:00:00 AM,K22-551985,APP SICK
A0536200,RETURNED TO OWNER,WESTMORELD,02/20/2022 12:00:00 AM,K22-547393,APP WNL
A0548537,TRANSFER,MEDICAL,06/21/2022 12:00:00 AM,K22-557778,APP SICK
A0551248,TRANSFER,MEDICAL,09/07/2022 12:00:00 AM,K22-564277,APP SICK
A0559624,ADOPTION,WESTMORELD,07/06/2022 12:00:00 AM,K22-558261,APP WNL
A0561004,EUTHANIZED,HUMANE,07/06/2022 12:00:00 AM,K22-559128,CRITICAL
A0577252,ADOPTION,WESTMORELD,05/08/2022 12:00:00 AM,K22-553893,APP WNL
A0597189,TRANSFER,MEDICAL,07/29/2022 12:00:00 AM,K22-560105,APP SICK
A0601296,TRANSFER,MEDICAL,08/11/2022 12:00:00 AM,K22-562022,APP SICK
A0605617,TRANSFER,MEDICAL,11/24/2021 12:00:00 AM,K21-542045,CRITICAL
A0608900,ADOPTION,WESTMORELD,08/16/2022 12:00:00 AM,K22-562185,APP WNL
A0614326,DISPOSAL,DISPOSAL,10/09/2021 12:00:00 AM,K21-538564,DECEASED
A0623088,RETURNED TO OWNER,WESTMORELD,01/26/2022 12:00:00 AM,K22-546448,APP SICK
A0623589,RETURNED TO OWNER,WESTMORELD,01/03/2022 12:00:00 AM,K22-544985,APP WNL
A0629143,RETURNED TO OWNER,WESTMORELD,11/01/2021 12:00:00 AM,K21-540441,APP SICK
A0631535,EUTHANIZED,MEDICAL,09/28/2022 12:00:00 AM,K22-566141,APP SICK
A0632169,EUTHANIZED,HUMANE,05/08/2022 12:00:00 AM,K22-554084,CRITICAL
A0632406,RETURNED TO OWNER,WESTMORELD,08/12/2022 12:00:00 AM,K22-562216,APP WNL
A0644135,EUTHANIZED,HUMANE,01/23/2022 12:00:00 AM,K22-546082,CRITICAL
A0650172,EUTHANIZED,HUMANE,11/20/2021 12:00:00 AM,K21-541975,APP SICK
A0655660,RETURNED TO OWNER,WESTMORELD,05/20/2022 12:00:00 AM,K22-554785,APP WNL
A0656103,EUTHANIZED,SPACE,08/04/2022 12:00:00 AM,K22-561133,APP WNL
A0656113,EUTHANIZED,SPACE,08/04/2022 12:00:00 AM,K22-561132,APP WNL
A0657362,EUTHANIZED,HUMANE,07/06/2022 12:00:00 AM,K22-559214,CRITICAL
A0668790,ADOPTION,WESTMORELD,11/09/2021 12:00:00 AM,K21-540454,APP WNL
A0673908,RETURNED TO OWNER,WESTMORELD,01/02/2022 12:00:00 AM,K22-544826,APP WNL
A0681623,RETURNED TO OWNER,WESTMORELD,02/20/2022 12:00:00 AM,K22-547391,APP WNL
A0692317,DISPOSAL,DISPOSAL,11/03/2021 12:00:00 AM,K21-540627,DECEASED
A0695338,DISPOSAL,DISPOSAL,04/13/2022 12:00:00 AM,K22-551927,DECEASED
A0703155,DISPOSAL,DISPOSAL,10/04/2021 12:00:00 AM,K21-538195,DECEASED
A0703184,ADOPTION,WESTMORELD,06/15/2022 12:00:00 AM,K22-555329,APP WNL
A0703517,EUTHANIZED,HUMANE,12/01/2021 12:00:00 AM,K21-542620,CRITICAL
